filename,numberOfTapNotes,numberOfHoldNotes,numberOfSlideNotes,numberOfTouchNotes,numberOfBreakNotes,numberOfExNotes,numberOfTotalNotes,numberOfAllTapNotes,Density,totalPlayerLength,breakScoreValue
000058_04.txt,383,49,86,0,22,0,540,454,4.6,117.36,0.02
000061_00.txt,181,9,4,0,3,0,197,193,1.4,140.36,0.17
000061_01.txt,258,14,6,0,8,0,286,280,3.07,93.21,0.06
000061_02.txt,352,27,19,0,4,0,402,383,4.2,95.79,0.12
000061_03.txt,230,94,12,0,15,0,351,339,3.8,92.36,0.03
000061_04.txt,591,39,129,0,11,0,770,641,8.06,95.57,0.05
000062_00.txt,105,14,4,0,2,0,125,121,1.32,94.8,0.25
000062_01.txt,142,21,13,0,27,0,203,190,1.7,119.58,0.02
000062_02.txt,125,25,43,0,12,0,205,162,1.64,125.21,0.04
000062_03.txt,146,36,45,0,8,0,235,190,1.89,124.58,0.06
000062_04.txt,327,31,61,0,40,0,459,398,3.06,149.86,0.01
000063_00.txt,154,26,10,0,2,0,192,182,1.54,124.71,0.25
000063_01.txt,175,9,10,0,3,0,197,187,1.86,105.86,0.17
000063_02.txt,203,44,19,0,8,0,274,255,2.62,104.57,0.06
000063_03.txt,241,52,26,0,4,0,323,297,3.25,99.43,0.12
000064_00.txt,177,19,8,0,6,0,210,202,2.02,104.0,0.08
000064_01.txt,209,33,8,0,3,0,253,245,2.31,109.33,0.17
000064_02.txt,251,60,11,0,4,0,326,315,3.13,103.99,0.12
000064_03.txt,357,24,7,0,36,0,424,417,4.3,98.5,0.01
000065_00.txt,192,20,6,0,4,0,222,216,2.16,102.61,0.12
000065_01.txt,155,20,6,0,8,0,189,183,1.62,116.52,0.06
000065_02.txt,235,31,18,0,7,0,291,273,2.39,121.74,0.07
000065_03.txt,265,29,33,0,4,0,331,298,3.28,100.87,0.12
000065_04.txt,205,28,110,0,6,0,349,239,3.46,100.87,0.08
000066_00.txt,137,17,14,0,2,0,170,156,1.59,107.02,0.25
000066_01.txt,212,32,10,0,4,0,258,248,2.63,98.25,0.12
000066_02.txt,280,27,17,0,4,0,328,311,3.2,102.46,0.12
000066_03.txt,416,0,20,0,28,0,464,444,4.74,97.98,0.02
000066_04.txt,461,62,100,0,13,0,636,536,6.48,98.16,0.04
000067_00.txt,128,6,8,0,4,0,146,138,1.41,103.58,0.12
000067_01.txt,142,49,5,0,9,0,205,200,1.84,111.16,0.06
000067_02.txt,209,52,13,0,4,0,278,265,2.59,107.37,0.12
000067_03.txt,258,91,17,0,13,0,379,362,3.95,95.84,0.04
000068_00.txt,157,15,5,0,2,0,179,174,1.7,105.45,0.25
000068_01.txt,154,49,7,0,1,0,211,204,2.0,105.45,0.5
000068_02.txt,221,31,16,0,7,0,275,259,2.81,97.95,0.07
000068_03.txt,293,33,29,0,16,0,371,342,3.79,97.95,0.03
000069_00.txt,186,7,4,0,3,0,200,196,1.79,111.8,0.17
000069_01.txt,234,45,5,0,4,0,288,283,2.58,111.8,0.12
000069_02.txt,236,75,18,0,4,0,333,315,2.66,125.22,0.12
000069_03.txt,381,48,20,0,8,0,457,437,4.09,111.8,0.06
000070_00.txt,139,13,2,0,3,0,157,155,1.72,91.2,0.17
000070_01.txt,149,26,5,0,5,0,185,180,2.03,91.2,0.1
000070_02.txt,282,18,18,0,14,0,332,314,3.64,91.2,0.04
000070_03.txt,564,27,37,0,20,0,648,611,7.12,91.03,0.03
000070_04.txt,450,63,118,0,96,0,727,609,7.89,92.1,0.01
000071_00.txt,191,4,4,0,3,0,202,198,1.94,103.9,0.17
000071_01.txt,196,10,11,0,12,0,229,218,2.23,102.73,0.04
000071_02.txt,297,35,11,0,13,0,356,345,3.47,102.73,0.04
000071_03.txt,422,7,17,0,8,0,454,437,4.42,102.73,0.06
000071_04.txt,395,26,127,0,23,0,571,444,5.15,110.93,0.02
000073_00.txt,147,12,3,0,3,0,165,162,1.81,91.11,0.17
000073_01.txt,230,12,12,0,4,0,258,246,2.85,90.37,0.12
000073_02.txt,227,34,18,0,9,0,288,270,2.52,114.07,0.06
000073_03.txt,338,21,15,0,7,0,381,366,4.22,90.28,0.07
000075_00.txt,109,21,12,0,4,0,146,134,1.37,106.63,0.12
000075_01.txt,242,16,18,0,11,0,287,269,2.69,106.63,0.05
000075_02.txt,398,12,4,0,128,0,542,538,5.07,106.97,0.0
000075_03.txt,530,12,50,0,15,0,607,557,5.68,106.8,0.03
000076_00.txt,132,8,4,0,8,0,152,148,1.09,139.12,0.06
000076_01.txt,175,31,5,0,9,0,220,215,1.81,121.5,0.06
000076_02.txt,375,30,23,0,11,0,439,416,3.61,121.69,0.05
000076_03.txt,438,56,12,0,11,0,517,505,4.27,121.13,0.05
000077_00.txt,135,14,10,0,6,0,165,155,1.33,123.67,0.08
000077_01.txt,140,53,6,0,9,0,208,202,1.68,123.67,0.06
000077_02.txt,250,74,13,0,7,0,344,331,2.75,125.0,0.07
000077_03.txt,366,59,37,0,12,0,474,437,3.84,123.37,0.04
000078_00.txt,109,14,7,0,4,0,134,127,1.0,133.74,0.12
000078_01.txt,217,16,7,0,3,0,243,236,1.46,166.26,0.17
000078_02.txt,262,41,16,0,12,0,331,315,1.99,166.26,0.04
000078_03.txt,368,43,33,0,8,0,452,419,3.74,120.92,0.06
000079_00.txt,97,5,9,0,9,0,120,111,1.33,90.0,0.06
000079_01.txt,137,11,14,0,9,0,171,157,1.91,89.5,0.06
000079_02.txt,170,34,7,0,5,0,216,209,1.83,117.75,0.1
000079_03.txt,213,38,27,0,13,0,291,264,3.25,89.5,0.04
000080_00.txt,133,9,7,0,6,0,155,148,1.35,114.46,0.08
000080_01.txt,181,8,10,0,11,0,210,200,1.69,124.62,0.05
000080_02.txt,246,63,12,0,10,0,331,319,2.78,119.08,0.05
000080_03.txt,438,10,35,0,29,0,512,477,4.47,114.46,0.02
000080_04.txt,424,8,127,0,24,0,583,456,5.09,114.46,0.02
000081_00.txt,126,17,0,0,3,0,146,146,1.26,116.05,0.17
000081_01.txt,225,30,2,0,6,0,263,261,2.36,111.32,0.08
000081_02.txt,285,86,11,0,2,0,384,373,3.45,111.32,0.25
000081_03.txt,348,81,21,0,7,0,457,436,4.11,111.32,0.07
000081_04.txt,414,116,77,0,14,0,621,544,5.58,111.32,0.04
000082_00.txt,68,21,7,0,1,0,97,90,1.04,93.4,0.5
000082_01.txt,203,20,5,0,13,0,241,236,2.24,107.58,0.04
000082_02.txt,274,61,26,0,34,0,395,369,4.01,98.42,0.01
000082_03.txt,456,29,50,0,14,0,549,499,4.89,112.32,0.04
000083_00.txt,104,14,8,0,4,0,130,122,0.75,172.65,0.12
000083_01.txt,260,15,4,0,4,0,283,279,2.47,114.58,0.12
000083_02.txt,390,33,10,0,13,0,446,436,3.9,114.29,0.04
000083_03.txt,396,46,25,0,9,0,476,451,3.76,126.68,0.06
000084_00.txt,125,9,3,0,4,0,141,138,1.23,114.84,0.12
000084_01.txt,216,20,5,0,2,0,243,238,2.32,104.56,0.25
000084_02.txt,216,27,34,0,10,0,287,253,2.07,138.63,0.05
000084_03.txt,295,28,66,0,2,0,391,325,3.47,112.56,0.25
000085_00.txt,107,5,3,0,4,0,119,116,1.37,87.11,0.12
000085_01.txt,137,12,12,0,9,0,170,158,1.84,92.44,0.06
000085_02.txt,270,26,8,0,14,0,318,310,3.63,87.67,0.04
000085_03.txt,298,3,73,0,12,0,386,313,4.45,86.78,0.04
000085_04.txt,424,17,59,0,46,0,546,487,6.29,86.78,0.01
000100_00.txt,113,13,8,0,4,0,138,130,1.08,128.0,0.12
000100_01.txt,159,36,17,0,13,0,225,208,1.8,124.8,0.04
000100_02.txt,232,53,47,0,3,0,335,288,2.35,142.4,0.17
000100_03.txt,260,79,29,0,16,0,384,355,2.76,139.2,0.03
000100_04.txt,365,35,69,0,4,0,473,404,3.25,145.6,0.12
000101_00.txt,107,7,3,0,11,0,128,125,1.29,99.2,0.05
000101_01.txt,236,20,10,0,10,0,276,266,3.08,89.6,0.05
000101_02.txt,200,55,13,0,9,0,277,264,2.94,94.2,0.06
000101_03.txt,443,19,9,0,28,0,499,490,5.59,89.3,0.02
000102_00.txt,131,0,4,0,4,0,139,135,0.91,152.11,0.12
000102_01.txt,248,36,12,0,21,0,317,305,2.56,123.8,0.02
000102_02.txt,238,73,59,0,17,0,387,328,3.13,123.8,0.03
000102_03.txt,495,24,36,0,9,0,564,528,4.56,123.8,0.06
000106_00.txt,95,20,7,0,5,0,127,120,1.08,117.06,0.1
000106_01.txt,286,10,2,0,16,0,314,312,3.19,98.53,0.03
000106_02.txt,258,50,22,0,5,0,335,313,3.23,103.82,0.1
000106_03.txt,381,21,61,0,33,0,496,435,5.02,98.82,0.02
000107_00.txt,125,7,5,0,6,0,143,138,1.32,108.35,0.08
000107_01.txt,166,48,4,0,8,0,226,222,2.17,104.12,0.06
000107_02.txt,176,24,57,0,16,0,273,216,2.55,107.21,0.03
000107_03.txt,390,35,16,0,9,0,450,434,4.37,103.06,0.06
000107_04.txt,522,29,56,0,17,0,624,568,6.23,100.24,0.03
000108_00.txt,101,12,4,0,6,0,123,119,1.02,120.48,0.08
000108_01.txt,196,19,4,0,4,0,223,219,2.04,109.2,0.12
000108_02.txt,264,31,12,0,8,0,315,303,2.88,109.2,0.06
000108_03.txt,228,26,47,0,7,0,308,261,2.81,109.44,0.07
000109_00.txt,180,23,2,0,1,0,206,204,1.7,120.92,0.5
000109_01.txt,284,35,9,0,6,0,334,325,2.8,119.08,0.08
000109_02.txt,416,54,3,0,12,0,485,482,3.98,121.85,0.04
000109_03.txt,435,92,62,0,9,0,598,536,5.04,118.62,0.06
000110_00.txt,98,12,4,0,5,0,119,115,0.98,120.88,0.1
000110_01.txt,205,43,4,0,13,0,265,261,2.19,120.88,0.04
000110_02.txt,174,44,69,0,3,0,290,221,1.31,220.62,0.17
000110_03.txt,370,96,35,0,1,0,502,467,3.72,135.11,0.5
000111_00.txt,123,2,6,0,4,0,135,129,1.17,115.0,0.12
000111_01.txt,251,19,6,0,9,0,285,279,2.59,110.0,0.06
000111_02.txt,244,79,15,0,2,0,340,325,2.1,161.67,0.25
000111_03.txt,316,73,36,0,3,0,428,392,3.89,110.0,0.17
000111_04.txt,475,43,64,0,29,0,611,547,5.49,111.25,0.02
000112_00.txt,176,11,8,0,11,0,206,198,1.81,114.0,0.05
000112_01.txt,320,20,4,0,18,0,362,358,2.96,122.4,0.03
000112_02.txt,475,22,15,0,27,0,539,524,4.39,122.85,0.02
000112_03.txt,535,20,70,0,54,0,679,609,5.96,114.0,0.01
000113_00.txt,88,10,4,0,4,0,106,102,0.86,123.43,0.12
000113_01.txt,225,6,11,0,4,0,246,235,2.39,102.86,0.12
000113_02.txt,515,1,8,0,10,0,534,526,5.08,105.14,0.05
000113_03.txt,473,16,10,0,14,0,513,503,4.58,112.0,0.04
000114_00.txt,148,4,9,0,5,0,166,157,1.47,113.28,0.1
000114_01.txt,151,24,10,0,1,0,186,176,0.64,291.84,0.5
000114_02.txt,47,147,7,0,7,0,208,201,1.51,137.75,0.07
000114_03.txt,421,23,6,0,14,0,464,458,3.7,125.28,0.04
000115_00.txt,122,7,7,0,1,0,137,130,0.99,138.7,0.5
000115_01.txt,273,13,12,0,12,0,310,298,2.52,123.12,0.04
000115_02.txt,400,34,10,0,2,0,446,436,3.33,134.03,0.25
000115_03.txt,739,6,38,0,2,0,785,747,5.86,134.03,0.25
000115_04.txt,798,22,71,0,10,0,901,830,6.72,134.03,0.05
000116_00.txt,103,9,6,0,5,0,123,117,0.94,130.61,0.1
000116_01.txt,249,42,24,0,8,0,323,299,2.25,143.27,0.06
000116_02.txt,273,59,37,0,19,0,388,351,2.43,159.8,0.03
000116_03.txt,366,68,59,0,7,0,500,441,3.49,143.47,0.07
000117_00.txt,109,12,6,0,5,0,132,126,0.84,157.78,0.1
000117_01.txt,189,33,11,0,5,0,238,227,1.57,151.11,0.1
000117_02.txt,345,25,33,0,6,0,409,376,3.07,133.06,0.08
000117_03.txt,257,33,94,0,5,0,389,295,3.13,124.44,0.1
000118_00.txt,135,4,4,0,7,0,150,146,1.58,95.22,0.07
000118_01.txt,179,14,3,0,26,0,222,219,2.33,95.22,0.02
000118_02.txt,302,8,4,0,23,0,337,333,3.38,99.78,0.02
000118_03.txt,356,26,8,0,23,0,413,405,4.34,95.22,0.02
000119_00.txt,106,9,10,0,8,0,133,123,1.39,95.59,0.06
000119_01.txt,160,23,6,0,16,0,205,199,2.26,90.62,0.03
000119_02.txt,212,43,39,0,20,0,314,275,3.07,102.21,0.03
000119_03.txt,314,34,46,0,20,0,414,368,4.24,97.66,0.03
000120_00.txt,77,1,10,0,3,0,91,81,0.99,91.71,0.17
000120_01.txt,89,19,12,0,6,0,126,114,1.59,79.29,0.08
000120_02.txt,105,34,49,0,6,0,194,145,2.5,77.57,0.08
000120_03.txt,194,0,64,0,10,0,268,204,3.07,87.43,0.05
000121_00.txt,146,5,3,0,7,0,161,158,1.31,122.93,0.07
000121_01.txt,170,32,10,0,16,0,228,218,1.85,122.93,0.03
000121_02.txt,315,21,33,0,20,0,389,356,3.07,126.83,0.03
000121_03.txt,303,43,39,0,29,0,414,375,3.37,122.68,0.02
000122_00.txt,103,16,1,0,4,0,124,123,1.21,102.67,0.12
000122_01.txt,223,53,1,0,9,0,286,285,2.82,101.33,0.06
000122_02.txt,239,61,40,0,8,0,348,308,2.93,118.67,0.06
000122_03.txt,270,94,18,0,19,0,401,383,3.91,102.65,0.03
000125_00.txt,144,6,5,0,4,0,159,154,1.4,113.77,0.12
000125_01.txt,231,34,1,0,11,0,277,276,2.55,108.7,0.05
000125_02.txt,235,64,17,0,20,0,336,319,2.64,127.11,0.03
000125_03.txt,556,27,45,0,9,0,637,592,5.84,108.99,0.06
000128_00.txt,49,25,6,0,1,0,81,75,0.5,160.71,0.5
000128_01.txt,62,37,22,0,2,0,123,101,0.82,150.14,0.25
000128_02.txt,95,59,37,0,3,0,194,157,0.73,267.4,0.17
000128_03.txt,229,80,32,0,5,0,346,314,3.42,101.11,0.1
000130_00.txt,106,5,9,0,9,0,129,120,1.5,85.93,0.06
000130_01.txt,211,20,8,0,8,0,247,239,2.22,111.48,0.06
000130_02.txt,279,31,12,0,8,0,330,318,4.09,80.74,0.06
000130_03.txt,375,29,36,0,29,0,469,433,5.76,81.48,0.02
000131_00.txt,110,5,4,0,5,0,124,120,1.42,87.27,0.1
000131_01.txt,145,19,7,0,3,0,174,167,2.13,81.82,0.17
000131_02.txt,253,31,23,0,7,0,314,291,3.32,94.55,0.07
000131_03.txt,208,14,73,0,13,0,308,235,3.72,82.73,0.04
000132_00.txt,132,8,2,0,3,0,145,143,1.71,85.0,0.17
000132_01.txt,167,16,8,0,3,0,194,186,1.58,122.88,0.17
000132_02.txt,361,26,11,0,4,0,402,391,5.03,80.0,0.12
000132_03.txt,356,26,55,0,8,0,445,390,5.55,80.19,0.06
000133_00.txt,104,24,7,0,7,0,142,135,1.76,80.47,0.07
000133_01.txt,160,24,2,0,6,0,192,190,2.3,83.49,0.08
000133_02.txt,324,15,22,0,14,0,375,353,4.75,78.96,0.04
000133_03.txt,373,5,51,0,16,0,445,394,5.64,78.96,0.03
000133_04.txt,487,25,57,0,39,0,608,551,7.7,78.96,0.01
000134_00.txt,63,6,3,0,3,0,75,72,0.8,94.02,0.17
000134_01.txt,66,49,5,0,2,0,122,117,1.48,82.2,0.25
000134_02.txt,167,39,9,0,9,0,224,215,2.4,93.19,0.06
000134_03.txt,180,30,67,0,9,0,286,219,3.5,81.61,0.06
000134_04.txt,292,23,57,0,15,0,387,330,4.65,83.15,0.03
000135_00.txt,72,9,4,0,3,0,88,84,1.06,82.93,0.17
000135_01.txt,161,22,16,0,8,0,207,191,2.49,83.29,0.06
000135_02.txt,112,58,28,0,11,0,209,181,2.38,87.68,0.05
000135_03.txt,218,34,54,0,3,0,309,255,3.7,83.54,0.17
000136_00.txt,91,16,8,0,4,0,119,111,1.49,80.0,0.12
000136_01.txt,118,16,12,0,10,0,156,144,1.95,80.0,0.05
000136_02.txt,283,7,9,0,2,0,301,292,3.64,82.8,0.25
000136_03.txt,222,35,71,0,4,0,332,261,3.73,89.0,0.12
000137_00.txt,95,15,5,0,2,0,117,112,1.39,84.46,0.25
000137_01.txt,125,13,12,0,4,0,154,142,1.83,84.0,0.12
000137_02.txt,189,11,56,0,8,0,264,208,3.13,84.23,0.06
000137_03.txt,236,58,39,0,4,0,337,298,4.17,80.77,0.12
000138_00.txt,108,15,4,0,2,0,129,125,1.58,81.82,0.25
000138_01.txt,159,14,5,0,4,0,182,177,2.24,81.36,0.12
000138_02.txt,248,22,14,0,11,0,295,281,3.61,81.82,0.05
000138_03.txt,383,4,61,0,16,0,464,403,5.75,80.68,0.03
000139_00.txt,166,9,6,0,7,0,188,182,2.35,80.0,0.07
000139_01.txt,193,25,2,0,5,0,225,223,2.77,81.33,0.1
000139_02.txt,361,20,19,0,6,0,406,387,4.99,81.33,0.08
000139_03.txt,421,8,28,0,7,0,464,436,5.53,83.83,0.07
000140_00.txt,105,10,2,0,1,0,118,116,1.46,80.9,0.5
000140_01.txt,187,18,5,0,2,0,212,207,2.76,76.85,0.25
000140_02.txt,180,42,10,0,9,0,241,231,2.76,87.47,0.06
000140_03.txt,257,44,47,0,5,0,353,306,4.62,76.35,0.1
000141_00.txt,100,16,3,0,3,0,122,119,1.56,78.0,0.17
000141_01.txt,124,36,7,0,6,0,173,166,2.19,78.85,0.08
000141_02.txt,219,31,15,0,7,0,272,257,3.49,78.0,0.07
000141_03.txt,515,22,12,0,11,0,560,548,6.95,80.57,0.05
000142_00.txt,100,2,2,0,4,0,108,106,1.24,87.04,0.12
000142_01.txt,151,23,3,0,6,0,183,180,1.75,104.79,0.08
000142_02.txt,278,32,2,0,10,0,322,320,3.46,92.96,0.05
000142_03.txt,231,43,37,0,28,0,339,302,4.18,81.02,0.02
000143_00.txt,76,7,6,0,2,0,91,85,1.2,76.0,0.25
000143_01.txt,96,37,7,0,2,0,142,135,0.95,149.33,0.25
000143_02.txt,230,50,12,0,2,0,294,282,3.47,84.83,0.25
000143_03.txt,651,0,2,0,2,0,655,653,6.22,105.33,0.25
000143_04.txt,425,19,176,0,3,0,623,447,7.79,80.0,0.17
000144_00.txt,114,7,3,0,6,0,130,127,1.65,78.83,0.08
000144_01.txt,165,31,2,0,6,0,204,202,2.59,78.83,0.08
000144_02.txt,198,32,11,0,6,0,247,236,3.16,78.18,0.08
000144_03.txt,363,18,1,0,15,0,397,396,5.04,78.83,0.03
000144_04.txt,418,20,39,0,15,0,492,453,6.24,78.83,0.03
000145_00.txt,59,6,7,0,4,0,76,69,0.81,93.75,0.12
000145_01.txt,127,8,16,0,8,0,159,143,1.9,83.67,0.06
000145_02.txt,128,66,32,0,4,0,230,198,2.63,87.42,0.12
000145_03.txt,151,87,40,0,1,0,279,239,3.0,93.05,0.5
000145_04.txt,261,38,87,0,3,0,389,302,4.23,91.88,0.17
000146_00.txt,86,31,5,0,4,0,126,121,1.01,124.46,0.12
000146_01.txt,159,45,8,0,6,0,218,210,1.7,128.23,0.08
000146_02.txt,196,78,15,0,8,0,297,282,2.33,127.54,0.06
000146_03.txt,374,55,40,0,43,0,512,472,4.47,114.51,0.01
000146_04.txt,380,66,90,0,39,0,575,485,5.01,114.86,0.01
000147_00.txt,62,20,7,0,4,0,93,86,0.86,108.46,0.12
000147_01.txt,99,45,7,0,14,0,165,158,1.58,104.65,0.04
000147_02.txt,113,72,16,0,12,0,213,197,1.91,111.34,0.04
000147_03.txt,257,28,46,0,14,0,345,299,3.0,115.15,0.04
000152_00.txt,82,22,6,0,5,0,115,109,0.75,152.4,0.1
000152_01.txt,142,64,7,0,4,0,217,210,1.54,140.55,0.12
000152_02.txt,268,68,16,0,11,0,363,347,1.95,185.7,0.05
000152_03.txt,312,39,73,0,24,0,448,375,3.43,130.8,0.02
000153_00.txt,91,24,7,0,4,0,126,119,0.8,156.97,0.12
000153_01.txt,147,33,15,0,10,0,205,190,1.09,187.46,0.05
000153_02.txt,330,72,34,0,23,0,459,425,4.04,113.51,0.02
000153_03.txt,326,67,95,0,24,0,512,417,4.9,104.43,0.02
000154_00.txt,142,14,2,0,6,0,164,162,1.38,118.74,0.08
000154_01.txt,271,26,7,0,7,0,311,304,2.62,118.74,0.07
000154_02.txt,401,33,15,0,8,0,457,442,3.8,120.42,0.06
000154_03.txt,411,54,33,0,17,0,515,482,3.68,139.89,0.03
000155_00.txt,132,5,6,0,5,0,148,142,1.03,143.68,0.1
000155_01.txt,190,67,14,0,9,0,280,266,1.89,148.03,0.06
000155_02.txt,250,77,27,0,4,0,358,331,2.13,168.16,0.12
000155_03.txt,324,58,77,0,10,0,469,392,2.68,175.26,0.05
000155_04.txt,527,42,85,0,20,0,674,589,4.64,145.26,0.03
000157_00.txt,103,5,3,0,3,0,114,111,0.93,122.1,0.17
000157_01.txt,162,23,8,0,5,0,198,190,1.96,100.8,0.1
000157_02.txt,105,58,21,0,5,0,189,168,1.72,110.1,0.1
